Engine Build Year (yyyy),Engine Build Week (WW),Build Volume
2000,1,1
2001,1,602
2002,1,222
2003,1,68
2006,1,1961
2007,1,763
2008,1,757
2012,1,1941
2013,1,1097
2014,1,564
2017,1,958
2018,1,1215
2019,1,1169
2020,1,560
2023,1,2139
2000,2,825
2001,2,699
2002,2,563
2003,2,424
2004,2,878
2005,2,1867
2006,2,2197
2007,2,1238
2008,2,1763
2009,2,1178
2010,2,781
2011,2,1246
2012,2,2916
2013,2,2026
2014,2,1938
2015,2,1859
2016,2,1056
2017,2,1725
2018,2,2406
2019,2,2701
2020,2,2035
2021,2,1346
2022,2,1684
2023,2,2533
2000,3,1008
2001,3,565
2002,3,578
2003,3,590
2004,3,1387
2005,3,1831
2006,3,2125
2007,3,1029
2008,3,1683
2009,3,1438
2010,3,927
2011,3,1554
2012,3,2700
2013,3,2059
2014,3,2357
2015,3,2495
2016,3,1652
2017,3,1445
2018,3,2313
2019,3,2753
2020,3,1973
2021,3,2013
2022,3,1860
2023,3,2012
2000,4,888
2001,4,557
2002,4,40
2003,4,728
2004,4,1194
2005,4,2236
2006,4,2207
2007,4,1188
2008,4,1839
2009,4,1482
2010,4,216
2011,4,1311
2012,4,3117
2013,4,2008
2014,4,2152
2015,4,2272
2016,4,1647
2017,4,1173
2018,4,1865
2019,4,2514
2020,4,1847
2021,4,2166
2022,4,1395
2023,4,2560
2000,5,1038
2001,5,676
2002,5,438
2003,5,836
2004,5,1140
2005,5,1984
2006,5,2313
2007,5,1212
2008,5,1807
2009,5,902
2010,5,569
2011,5,1608
2012,5,2354
2013,5,1776
2014,5,2078
2015,5,2279
2016,5,1430
2017,5,1276
2018,5,2241
2019,5,2644
2020,5,1887
2021,5,2170
2022,5,1664
2023,5,2515
2000,6,879
2001,6,666
2002,6,446
2003,6,715
2004,6,1199
2005,6,1939
2006,6,1996
2007,6,1418
2008,6,1830
2009,6,1388
2010,6,670
2011,6,1432
2012,6,2651
2013,6,1819
2014,6,2078
2015,6,2263
2016,6,1483
2017,6,1287
2018,6,2019
2019,6,2646
2020,6,1742
2021,6,2279
2022,6,1790
